agencyId,color,description,routeId,longName,shortName,textColor,type,url
174,,Ramal C: C - Lynch y Caaguazú,174_797,JMLANU527,527C,,3,
212,,Est. Torcuato x 202: Est. Torcuato x 202 - IDA,212_1123,JMTIGR722,722A,,3,
215,,Av. S. Martin y Sperandio - Bº Santa Rosa: a Av. S. Martin y Sperandio,215_585,JMFVAR500,500HA,,3,
215,,Av. S. Martin y Sperandio - Bº Santa Rosa: a B° Santa Rosa,215_584,JMFVAR500,500HA,,3,
215,,Ramal A - Av. San Martin y Sperandio - U. Penitenciaria Fcio. Varela: Ramal A - Av. San Martin y Sperandio,215_587,JMFVAR503,503A,,3,
215,,Ramal A - Av. San Martin y Sperandio - U. Penitenciaria Fcio. Varela: Ramal A - U. Penitenciaria Fcio. Varela,215_586,JMFVAR503,503A,,3,
215,,Ramal B - TR. Av. San Martin y Sperandio - U. Penitenciaria Fcio. Varela: Ramal B - U. Penitenciaria Fcio. Varela,215_590,JMFVAR503,503B,,3,
215,,Av. San Martin y Sperandio - Bº Mayol: a B° Mayol,215_592,JMFVAR506,506A,,3,
215,,Ramal B - TR. Av. San Martin y Sperandio - U. Penitenciaria Fcio. Varela: Ramal B - TR. Av. San Martin y Sperandio,215_591,JMFVAR503,503B,,3,
215,,Av. San Martin y Sperandio - Bº Mayol: a Av. San Martin y Sperandio,215_593,JMFVAR506,506A,,3,
215,,Est. Claypole - Bº Pista Trote: a Est. Claypole,215_595,JPBSAS383,383R7,,3,
215,,Est. Claypole - Villa Argentina: a Est. Claypole,215_597,JPBSAS383,383R9,,3,
70,,E - Pza. Italia x RP 8 - Pilar: x Ruta 8 Pilar Palermo,70_432,JNAMBA057,57E,,3,
70,,E - Pza. Italia x RP 8 - Pilar: x Ruta 8 Palermo Pilar,70_433,JNAMBA057,57E,,3,
70,,K - Pza. Italia x Cno. del Buen Ayre y Av. Roca - Est. Moreno: x Roca Moreno Palermo,70_434,JNAMBA057,57K,,3,
70,,K - Pza. Italia x Cno. del Buen Ayre y Av. Roca - Est. Moreno: x Roca Palermo Moreno,70_435,JNAMBA057,57K,,3,
70,,I - Pza. Italia x RP 8 - cruce Castelar: x Ruta 8 cruce Castelar Palermo,70_436,JNAMBA057,57I,,3,
70,,I - Pza. Italia x RP 8 - cruce Castelar: x Ruta 8 Palermo cruce Castelar,70_437,JNAMBA057,57I,,3,
70,,D - Pza. Italia x RP 8 y 7 - Term. Ómnibus de Lujan: x Ruta 7 Lujan Palermo,70_438,JNAMBA057,57D,,3,
70,,D - Pza. Italia x RP 8 y 7 - Term. Ómnibus de Lujan: x Ruta 7 Palermo Lujan,70_439,JNAMBA057,57D,,3,
70,,N - Pza. Italia x Acc. Norte - Pilar: Expreso Pilar Palermo,70_440,JNAMBA057,57N,,3,
70,,N - Pza. Italia x Acc. Norte - Pilar: Expreso Palermo Pilar,70_441,JNAMBA057,57N,,3,
70,,G - Pza. Italia x Est. Garín - Pilar: a Pilar Palermo x Garin,70_442,JNAMBA057,57G,,3,
70,,G - Pza. Italia x Est. Garín - Pilar: a Palermo Pilar x Garin,70_443,JNAMBA057,57G,,3,
70,,O - Pza. Italia x Av. Int. Cantilo y Acc. Norte - Pilar: Expreso Pilar Palermo,70_444,JNAMBA057,57O,,3,
