id,name,price,seller,date,query
7790070506924,Harina 0000 Blancaflor 1 Kg.,231.13,dia,06/05/23,harina de maiz
8480017242730,Harina de Trigo 0000 DIA 1 Kg.,181.22,dia,06/05/23,harina de maiz
7792180139320,Harina 000 Cañuelas Ultra Refinada 1 Kg.,148.7,dia,06/05/23,harina de maiz
7792180004512,Harina 000 Pureza Ultra Refinada 1 Kg.,155.4,dia,06/05/23,harina de maiz
8480017242747,Harina Leudante DIA 1 Kg.,204.74,dia,06/05/23,harina de maiz
7792180134516,Harina Integral Pureza 1 Kg,229.6,dia,06/05/23,harina de maiz
7792180004888,Harina Leudante Pureza 1 Kg.,239.9,dia,06/05/23,harina de maiz
7790070318657,Fideos Tallarin Matarazzo 500 Gr.,249.13,dia,06/05/23,fideos tallarin matarazzo
7790070318640,Fideos Spaghetti Matarazzo 500 Gr.,249.13,dia,06/05/23,fideos tallarin matarazzo
7790070320032,Fideos Matarazzo Municines 500 Gr.,249.13,dia,06/05/23,fideos tallarin matarazzo
7790070318602,Fideos Tirabuzon Matarazzo 500 Gr.,223.02,dia,06/05/23,fideos tallarin matarazzo
7790070318596,Fideos Mostachol Matarazzo 500 Gr.,223.02,dia,06/05/23,fideos tallarin matarazzo
7790230033031,Fideos Moños Matarazzo 500 Gr.,415.81,dia,06/05/23,fideos tallarin matarazzo
7790070318633,Fideos Penne Rigatte Matarazzo 500 Gr.,249.13,dia,06/05/23,fideos tallarin matarazzo
7790070318299,Fideos Tallarín Lucchetti 500 Gr.,211.68,dia,06/05/23,fideos tallarin matarazzo
7790580134792,Fideos Tallarin Arcor 500 Gr.,251.64,dia,06/05/23,fideos tallarin matarazzo
7790070318060,Fideos Tirabuzón 3 Vegetales Matarazzo 500 Gr.,308.12,dia,06/05/23,fideos tallarin matarazzo
7790070321800,Fideos Spaghetti Libre de Gluten Matarazzo 500 Gr.,416.79,dia,06/05/23,fideos tallarin matarazzo
7790580133894,Fideos Tallarin La Campagnola 500 Gr.,292.36,dia,06/05/23,fideos tallarin matarazzo
7790070318114,Fideos al Huevo Tallarín Don Vicente 500 Gr.,396.59,dia,06/05/23,fideos tallarin matarazzo
7798031155747,FIDEOS TALLARINES CICA 500GR,244.92,dia,06/05/23,fideos tallarin matarazzo
8480017093479,Fideos Tirabuzón Cuquets 500 Gr.,269.0,dia,06/05/23,fideos tallarin matarazzo
7790070318343,Fideos Coditos Lucchetti 500 Gr.,211.68,dia,06/05/23,fideos tallarin matarazzo
7790070342034,Fideos Tirabuzón Favorita 500 Gr.,130.2,dia,06/05/23,fideos tallarin matarazzo
7790070321855,Fideos Tirabuzón Libre de Gluten Matarazoo Mix de Legumbres 500 Gr.,382.35,dia,06/05/23,fideos tallarin matarazzo
7798031155778,FIDEOS RIGATTI CICA 500GR,244.92,dia,06/05/23,fideos tallarin matarazzo
2490094000000,Papa Negra x 1 Kg.,299.0,dia,06/05/23,papa negra 1kg
2490090000000,Papa Blanca en malla x 1 Kg.,499.0,dia,06/05/23,papa negra 1kg
2490140000000,Papa Mini con malla x 1 Kg.,899.0,dia,06/05/23,papa negra 1kg
2490061000000,Papa Comercial en bolsa malla x 1 Kg.,179.0,dia,06/05/23,papa negra 1kg
7790070412119,ARROZ PARBOIL MAXIMO 1KG,319.5,dia,06/05/23,papa negra 1kg
7790070412126,ARROZ LARGO FINO MAXIMO 1KG,266.3,dia,06/05/23,papa negra 1kg
7794000006362,Puré de Papa Knorr Listo 125 Gr.,311.65,dia,06/05/23,papa negra 1kg
8480017260093,"Jardinera DIA Zanahoria, Papa y Arveja 300 Gr.",120.0,dia,06/05/23,papa negra 1kg
7794000006379,Puré de Papa Knorr Listo Receta Completa 125 Gr.,397.7,dia,06/05/23,papa negra 1kg
7793147001742,Cerveza Imperial Stout lata 473 Ml.,365.0,dia,06/05/23,papa negra 1kg
7798143357091,Pimienta Negra Molida 50 Gr.,125.0,dia,06/05/23,papa negra 1kg
7798143357084,Pimienta Negra en grano 50 Gr.,125.0,dia,06/05/23,papa negra 1kg
7796373002422,PIMIENTA NEGRA MOLIDA LA PARMESANA 25GR,155.0,dia,06/05/23,papa negra 1kg
7797750979887,Licuadora KitchenAid Negra Con Jarra de Vidrio,136499.0,dia,06/05/23,papa negra 1kg
7792180006752,Premezcla para Ñoquis de Papa Mamá Cocina Plus 400 Gr.,363.06,dia,06/05/23,papa negra 1kg
7798360590141,Pan de Viena Rey Oro con Papa 300 Gr. 4 Un.,439.0,dia,06/05/23,papa negra 1kg
2490062000000,Batata x 1 Kg.,519.0,dia,06/05/23,batata 1kg
7790070412119,ARROZ PARBOIL MAXIMO 1KG,319.5,dia,06/05/23,batata 1kg
7790580504410,Dulce de Batata Arcor 500 Gr.,529.42,dia,06/05/23,batata 1kg
8480017139047,Galletitas Pepas DIA Batata 500 Gr,397.49,dia,06/05/23,batata 1kg
7790070412126,ARROZ LARGO FINO MAXIMO 1KG,266.3,dia,06/05/23,batata 1kg
8480017368621,Dulce de Batata DIA 500 Gr.,279.38,dia,06/05/23,batata 1kg
7791113001543,Dulce de Batata Emeth 500 Gr.,499.0,dia,06/05/23,batata 1kg
7797674001879,Pastelitos de Batata 90 Gr.,349.0,dia,06/05/23,batata 1kg
7792540293754,Azúcar Ledesma Light 500 Gr.,289.45,dia,06/05/23,azucar ledesma
7792540250450,Azúcar Ledesma refinado Superior 1 Kg.,342.82,dia,06/05/23,azucar ledesma
7792540294607,Azúcar Rubia Mascabo Ledesma 800 Gr.,344.68,dia,06/05/23,azucar ledesma
8480017602824,Azúcar Impalpable DIA 250 Gr.,299.0,dia,06/05/23,azucar ledesma
7794940000550,Azúcar Light Hileret 250 Gr.,287.0,dia,06/05/23,azucar ledesma
7798174970269,"Azúcar Azucel Común tipo ""A"" 500 Gr.",339.53,dia,06/05/23,azucar ledesma
8480017078131,Azúcar Plus DIA Común tipo A 1 Kg.,505.68,dia,06/05/23,azucar ledesma
7799086000051,Edulcorante Stevia Ledesma 96 sobres,670.11,dia,06/05/23,azucar ledesma
7799086000044,Edulcorante Stevia Ledesma 48 sobres,484.79,dia,06/05/23,azucar ledesma
